Month,Region,Purpose,Nights
2000 Jun,Fleurieu Peninsula,Visiting friends and relatives,28.4158382
2000 Jun,Fleurieu Peninsula,Business,0
2000 Jun,Fleurieu Peninsula,Other reason,0
2000 Jun,Limestone Coast,Holiday,54.1688614
2000 Jun,Limestone Coast,Visiting friends and relatives,85.8934962
2000 Jun,Limestone Coast,Business,31.987937
2000 Jun,Limestone Coast,Other reason,0
2000 Jun,"Murray River, Lakes and Coorong",Holiday,20.5105003
2000 Jun,"Murray River, Lakes and Coorong",Visiting friends and relatives,9.8731393
2000 Jun,"Murray River, Lakes and Coorong",Business,2.1311997
2000 Jun,"Murray River, Lakes and Coorong",Other reason,14.4168609
2000 Jun,Riverland,Holiday,19.2218644
2000 Jun,Riverland,Visiting friends and relatives,8.6785994
2000 Jun,Riverland,Business,0.8321964
2000 Jun,Riverland,Other reason,0
2000 Jun,Yorke Peninsula,Holiday,44.8791111
2000 Jun,Yorke Peninsula,Visiting friends and relatives,20.6678081
2000 Jun,Yorke Peninsula,Business,0
2000 Jun,Yorke Peninsula,Other reason,0
2000 Jun,Flinders Ranges and Outback,Holiday,83.72749
2000 Jun,Flinders Ranges and Outback,Visiting friends and relatives,26.9713191
2000 Jun,Flinders Ranges and Outback,Business,25.6123915
2000 Jun,Flinders Ranges and Outback,Other reason,8.5445502
2000 Jun,Kangaroo Island,Holiday,0
2000 Jun,Kangaroo Island,Visiting friends and relatives,0
2000 Jun,Kangaroo Island,Business,2.0169212
2000 Jun,Kangaroo Island,Other reason,0
2000 Jun,Destination Perth,Holiday,355.1905633
2000 Jun,Destination Perth,Visiting friends and relatives,316.5758776
2000 Jun,Destination Perth,Business,143.6653589
2000 Jun,Destination Perth,Other reason,61.8855193
2000 Jun,Australia's Golden Outback,Holiday,100.8048535
2000 Jun,Australia's Golden Outback,Visiting friends and relatives,21.8060846
2000 Jun,Australia's Golden Outback,Business,76.0863691
2000 Jun,Australia's Golden Outback,Other reason,1.616593
2000 Jun,Australia's North West,Holiday,153.9143318
2000 Jun,Australia's North West,Visiting friends and relatives,23.779075
2000 Jun,Australia's North West,Business,24.6958661
2000 Jun,Australia's North West,Other reason,0
2000 Jun,Australia's South West,Holiday,276.2347673
2000 Jun,Australia's South West,Visiting friends and relatives,111.4537116
2000 Jun,Australia's South West,Business,30.4288749
2000 Jun,Australia's South West,Other reason,0
2000 Jun,Australia's Coral Coast,Holiday,170.0074201
2000 Jun,Australia's Coral Coast,Visiting friends and relatives,25.211914
2000 Jun,Australia's Coral Coast,Business,106.0677458
2000 Jun,Australia's Coral Coast,Other reason,3.4501488
2000 Jun,Hobart and the South,Holiday,183.9521054
2000 Jun,Hobart and the South,Visiting friends and relatives,37.8366268
2000 Jun,Hobart and the South,Business,19.473295
2000 Jun,Hobart and the South,Other reason,3.6267195
2000 Jun,East Coast,Holiday,18.0917991
2000 Jun,East Coast,Visiting friends and relatives,1.7116608
2000 Jun,East Coast,Business,3.5221818
2000 Jun,East Coast,Other reason,0
2000 Jun,Launceston and the North,Holiday,47.2275353
2000 Jun,Launceston and the North,Visiting friends and relatives,20.0092106
2000 Jun,Launceston and the North,Business,37.2307201
2000 Jun,Launceston and the North,Other reason,15.2135176
2000 Jun,North West,Holiday,18.6689022
2000 Jun,North West,Visiting friends and relatives,20.473772
2000 Jun,North West,Business,3.8780673
2000 Jun,North West,Other reason,1.995434
2000 Jun,West Coast,Holiday,4.0375364
2000 Jun,West Coast,Visiting friends and relatives,7.8598226
2000 Jun,West Coast,Business,10.3657537
2000 Jun,West Coast,Other reason,1.3521298
2000 Jun,Darwin,Holiday,153.5088486
2000 Jun,Darwin,Visiting friends and relatives,41.310987
2000 Jun,Darwin,Business,76.5149475
2000 Jun,Darwin,Other reason,5.9232618
2000 Jun,Barkly,Holiday,25.9269191
2000 Jun,Barkly,Visiting friends and relatives,0
2000 Jun,Barkly,Business,2.5388214
2000 Jun,Barkly,Other reason,0.3139228
2000 Jun,Alice Springs,Holiday,46.7539129
2000 Jun,Alice Springs,Visiting friends and relatives,0
2000 Jun,Alice Springs,Business,27.2089794
2000 Jun,Alice Springs,Other reason,0
2000 Jun,Litchfield Kakadu Arnhem,Holiday,24.4814536
2000 Jun,Litchfield Kakadu Arnhem,Visiting friends and relatives,10.5621572
2000 Jun,Litchfield Kakadu Arnhem,Business,2.5113824
2000 Jun,Litchfield Kakadu Arnhem,Other reason,0.6278456
2000 Jun,Katherine Daly,Holiday,44.7613075
2000 Jun,Katherine Daly,Visiting friends and relatives,29.25699
2000 Jun,Katherine Daly,Business,14.8295668
2000 Jun,Katherine Daly,Other reason,1.8413036
2000 Jun,Lasseter,Holiday,22.0891953
2000 Jun,Lasseter,Visiting friends and relatives,0
2000 Jun,Lasseter,Business,209.9369998
2000 Jun,Lasseter,Other reason,0
2000 Jun,MacDonnell,Holiday,3.6136852
2000 Jun,MacDonnell,Visiting friends and relatives,0
2000 Jun,MacDonnell,Business,4.0809964
2000 Jun,MacDonnell,Other reason,0
2000 Jun,Canberra,Holiday,99.0453316
2000 Jun,Canberra,Visiting friends and relatives,168.7051455
2000 Jun,Canberra,Business,114.9939447
2000 Jun,Canberra,Other reason,50.4066932
2000 Jul,Sydney,Holiday,511.6409866
2000 Jul,Sydney,Visiting friends and relatives,775.3513401
2000 Jul,Sydney,Business,706.8999902
2000 Jul,Sydney,Other reason,218.8707036
2000 Jul,Blue Mountains,Holiday,91.3832804
2000 Jul,Blue Mountains,Visiting friends and relatives,101.4547548
2000 Jul,Blue Mountains,Business,17.7645834
2000 Jul,Blue Mountains,Other reason,0
2000 Jul,Capital Country,Holiday,76.8832439
2000 Jul,Capital Country,Visiting friends and relatives,64.7648851
2000 Jul,Capital Country,Business,19.7253976
2000 Jul,Capital Country,Other reason,0
2000 Jul,Central Coast,Holiday,174.0592581
2000 Jul,Central Coast,Visiting friends and relatives,74.6010921
2000 Jul,Central Coast,Business,2.8788491
2000 Jul,Central Coast,Other reason,2.1118423
2000 Jul,Central NSW,Holiday,122.5447682
2000 Jul,Central NSW,Visiting friends and relatives,167.2844322
2000 Jul,Central NSW,Business,16.6427225
2000 Jul,Central NSW,Other reason,13.4453613
2000 Jul,Hunter,Holiday,141.8445996
2000 Jul,Hunter,Visiting friends and relatives,231.8303334
2000 Jul,Hunter,Business,47.3921183
2000 Jul,Hunter,Other reason,0
2000 Jul,New England North West,Holiday,109.2705212
2000 Jul,New England North West,Visiting friends and relatives,136.3166364
2000 Jul,New England North West,Business,23.622442
2000 Jul,New England North West,Other reason,17.0589525
2000 Jul,North Coast NSW,Holiday,651.1918662
2000 Jul,North Coast NSW,Visiting friends and relatives,181.9265263
2000 Jul,North Coast NSW,Business,86.7195795
2000 Jul,North Coast NSW,Other reason,6.2141152
2000 Jul,Outback NSW,Holiday,45.3958359
2000 Jul,Outback NSW,Visiting friends and relatives,47.4387697
2000 Jul,Outback NSW,Business,40.1357106
2000 Jul,Outback NSW,Other reason,5.7576982
2000 Jul,Riverina,Holiday,20.0743017
2000 Jul,Riverina,Visiting friends and relatives,24.8882624
2000 Jul,Riverina,Business,11.6920927
2000 Jul,Riverina,Other reason,43.900476
2000 Jul,Snowy Mountains,Holiday,427.5117113
2000 Jul,Snowy Mountains,Visiting friends and relatives,18.6345296
2000 Jul,Snowy Mountains,Business,44.7360804
2000 Jul,Snowy Mountains,Other reason,7.0235054
2000 Jul,South Coast,Holiday,335.7389445
2000 Jul,South Coast,Visiting friends and relatives,199.1168604
2000 Jul,South Coast,Business,68.221572
2000 Jul,South Coast,Other reason,0
2000 Jul,The Murray,Holiday,70.2498105
2000 Jul,The Murray,Visiting friends and relatives,40.704281
2000 Jul,The Murray,Business,15.1871574
2000 Jul,The Murray,Other reason,0
2000 Jul,Melbourne,Holiday,477.748802
2000 Jul,Melbourne,Visiting friends and relatives,506.5534096
2000 Jul,Melbourne,Business,431.79486
2000 Jul,Melbourne,Other reason,130.9469305
2000 Jul,Ballarat,Holiday,23.4824315
2000 Jul,Ballarat,Visiting friends and relatives,17.0170594
2000 Jul,Ballarat,Business,18.7600681
2000 Jul,Ballarat,Other reason,0
2000 Jul,Bendigo Loddon,Holiday,28.568821
2000 Jul,Bendigo Loddon,Visiting friends and relatives,70.6818088
2000 Jul,Bendigo Loddon,Business,11.2110572
2000 Jul,Bendigo Loddon,Other reason,0
2000 Jul,Central Highlands,Holiday,42.8403824
2000 Jul,Central Highlands,Visiting friends and relatives,4.7004309
2000 Jul,Central Highlands,Business,13.3131433
2000 Jul,Central Highlands,Other reason,0
2000 Jul,Central Murray,Holiday,67.9019158
2000 Jul,Central Murray,Visiting friends and relatives,2.9641958
2000 Jul,Central Murray,Business,17.3597771
2000 Jul,Central Murray,Other reason,6.5660534
2000 Jul,Geelong and the Bellarine,Holiday,64.3439262
2000 Jul,Geelong and the Bellarine,Visiting friends and relatives,96.1859331
2000 Jul,Geelong and the Bellarine,Business,0
2000 Jul,Geelong and the Bellarine,Other reason,2.1882322
2000 Jul,Gippsland,Holiday,71.1919224
2000 Jul,Gippsland,Visiting friends and relatives,75.9609881
2000 Jul,Gippsland,Business,20.617723
2000 Jul,Gippsland,Other reason,0
2000 Jul,Goulburn,Holiday,22.8983324
2000 Jul,Goulburn,Visiting friends and relatives,21.3064922
2000 Jul,Goulburn,Business,0
2000 Jul,Goulburn,Other reason,2.248768
2000 Jul,Great Ocean Road,Holiday,143.3615664
2000 Jul,Great Ocean Road,Visiting friends and relatives,50.8023311
2000 Jul,Great Ocean Road,Business,26.7293345
2000 Jul,Great Ocean Road,Other reason,0
2000 Jul,High Country,Holiday,305.4497054
2000 Jul,High Country,Visiting friends and relatives,65.9646877
2000 Jul,High Country,Business,16.182615
2000 Jul,High Country,Other reason,0
2000 Jul,Lakes,Holiday,67.7390268
2000 Jul,Lakes,Visiting friends and relatives,48.263467
2000 Jul,Lakes,Business,4.315364
2000 Jul,Lakes,Other reason,0
2000 Jul,Macedon,Holiday,11.8882579
2000 Jul,Macedon,Visiting friends and relatives,3.5314862
2000 Jul,Macedon,Business,0
2000 Jul,Macedon,Other reason,0
2000 Jul,Mallee,Holiday,105.4705311
2000 Jul,Mallee,Visiting friends and relatives,55.9964716
2000 Jul,Mallee,Business,20.4137585
2000 Jul,Mallee,Other reason,4.0180338
2000 Jul,Melbourne East,Holiday,54.9948474
2000 Jul,Melbourne East,Visiting friends and relatives,3.177978
2000 Jul,Melbourne East,Business,0
2000 Jul,Melbourne East,Other reason,8.9982152
2000 Jul,Murray East,Holiday,0
2000 Jul,Murray East,Visiting friends and relatives,6.4451864
2000 Jul,Murray East,Business,0
2000 Jul,Murray East,Other reason,0
2000 Jul,Peninsula,Holiday,93.5525488
2000 Jul,Peninsula,Visiting friends and relatives,21.0757292
2000 Jul,Peninsula,Business,6.6567896
2000 Jul,Peninsula,Other reason,3.2830267
2000 Jul,Phillip Island,Holiday,46.3551069
2000 Jul,Phillip Island,Visiting friends and relatives,68.982605
2000 Jul,Phillip Island,Business,0
2000 Jul,Phillip Island,Other reason,0
2000 Jul,Spa Country,Holiday,28.085301
2000 Jul,Spa Country,Visiting friends and relatives,1.0140095
2000 Jul,Spa Country,Business,0
2000 Jul,Spa Country,Other reason,0
2000 Jul,Upper Yarra,Holiday,9.6617673
2000 Jul,Upper Yarra,Visiting friends and relatives,13.9374746
2000 Jul,Upper Yarra,Business,0
2000 Jul,Upper Yarra,Other reason,9.6677796
2000 Jul,Western Grampians,Holiday,16.4843864
2000 Jul,Western Grampians,Visiting friends and relatives,35.1737417
2000 Jul,Western Grampians,Business,15.5989798
2000 Jul,Western Grampians,Other reason,2.3292669
2000 Jul,Wimmera,Holiday,1.7540595
2000 Jul,Wimmera,Visiting friends and relatives,3.7105266
2000 Jul,Wimmera,Business,0
2000 Jul,Wimmera,Other reason,0
2000 Jul,Brisbane,Holiday,455.429459
2000 Jul,Brisbane,Visiting friends and relatives,692.7430927
2000 Jul,Brisbane,Business,337.7460583
2000 Jul,Brisbane,Other reason,43.7599667
2000 Jul,Bundaberg,Holiday,30.3675344
2000 Jul,Bundaberg,Visiting friends and relatives,51.7790776
2000 Jul,Bundaberg,Business,16.6094348
2000 Jul,Bundaberg,Other reason,0
2000 Jul,Southern Queensland Country,Holiday,90.7523029
2000 Jul,Southern Queensland Country,Visiting friends and relatives,147.3846996
2000 Jul,Southern Queensland Country,Business,26.3421688
2000 Jul,Southern Queensland Country,Other reason,38.6774466
2000 Jul,Fraser Coast,Holiday,96.4154595
2000 Jul,Fraser Coast,Visiting friends and relatives,44.2370924
2000 Jul,Fraser Coast,Business,0
2000 Jul,Fraser Coast,Other reason,0
2000 Jul,Gold Coast,Holiday,1001.2204936
2000 Jul,Gold Coast,Visiting friends and relatives,186.1156002
2000 Jul,Gold Coast,Business,34.8162584
2000 Jul,Gold Coast,Other reason,27.8146999
2000 Jul,Mackay,Holiday,60.9709504
2000 Jul,Mackay,Visiting friends and relatives,2.5828188
2000 Jul,Mackay,Business,209.6609864
2000 Jul,Mackay,Other reason,9.991944
2000 Jul,Townsville,Holiday,189.9184555
2000 Jul,Townsville,Visiting friends and relatives,267.2688539
2000 Jul,Townsville,Business,122.998485
2000 Jul,Townsville,Other reason,32.4242302
2000 Jul,Outback Queensland,Holiday,45.1042609
2000 Jul,Outback Queensland,Visiting friends and relatives,152.5902491
2000 Jul,Outback Queensland,Business,35.8301301
2000 Jul,Outback Queensland,Other reason,0
2000 Jul,Sunshine Coast,Holiday,436.4574793
2000 Jul,Sunshine Coast,Visiting friends and relatives,348.8402465
2000 Jul,Sunshine Coast,Business,9.4172964
2000 Jul,Sunshine Coast,Other reason,0
2000 Jul,Tropical North Queensland,Holiday,805.0929143
2000 Jul,Tropical North Queensland,Visiting friends and relatives,51.8192838
2000 Jul,Tropical North Queensland,Business,122.1271296
2000 Jul,Tropical North Queensland,Other reason,47.1897371
2000 Jul,Whitsundays,Holiday,186.0671544
2000 Jul,Whitsundays,Visiting friends and relatives,8.4401354
2000 Jul,Whitsundays,Business,20.7617935
2000 Jul,Whitsundays,Other reason,10.7376174
2000 Jul,Capricorn,Holiday,120.5567864
2000 Jul,Capricorn,Visiting friends and relatives,46.4394651
2000 Jul,Capricorn,Business,68.6850721
2000 Jul,Capricorn,Other reason,0
2000 Jul,Gladstone,Holiday,56.9700541
2000 Jul,Gladstone,Visiting friends and relatives,20.3345936
2000 Jul,Gladstone,Business,16.6094348
2000 Jul,Gladstone,Other reason,0
2000 Jul,Adelaide,Holiday,222.4759906
2000 Jul,Adelaide,Visiting friends and relatives,128.387196
2000 Jul,Adelaide,Business,286.5498407
2000 Jul,Adelaide,Other reason,44.7865236
2000 Jul,Adelaide Hills,Holiday,20.95237
2000 Jul,Adelaide Hills,Visiting friends and relatives,0.7776381
2000 Jul,Adelaide Hills,Business,0
2000 Jul,Adelaide Hills,Other reason,0
2000 Jul,Barossa,Holiday,28.7380171
2000 Jul,Barossa,Visiting friends and relatives,17.0879864
2000 Jul,Barossa,Business,1.5920949
2000 Jul,Barossa,Other reason,0
2000 Jul,Clare Valley,Holiday,20.9888822
2000 Jul,Clare Valley,Visiting friends and relatives,5.8390381
2000 Jul,Clare Valley,Business,0
2000 Jul,Clare Valley,Other reason,0
2000 Jul,Eyre Peninsula,Holiday,50.6307486
2000 Jul,Eyre Peninsula,Visiting friends and relatives,35.2642717
2000 Jul,Eyre Peninsula,Business,23.7506712
2000 Jul,Eyre Peninsula,Other reason,4.0086177
2000 Jul,Fleurieu Peninsula,Holiday,121.592591
2000 Jul,Fleurieu Peninsula,Visiting friends and relatives,7.3424254
2000 Jul,Fleurieu Peninsula,Business,0
2000 Jul,Fleurieu Peninsula,Other reason,0
2000 Jul,Limestone Coast,Holiday,55.4515041
2000 Jul,Limestone Coast,Visiting friends and relatives,30.5076427
2000 Jul,Limestone Coast,Business,2.0385431
2000 Jul,Limestone Coast,Other reason,3.2830267
2000 Jul,"Murray River, Lakes and Coorong",Holiday,46.5829019
2000 Jul,"Murray River, Lakes and Coorong",Visiting friends and relatives,28.1847742
2000 Jul,"Murray River, Lakes and Coorong",Business,2.232404
2000 Jul,"Murray River, Lakes and Coorong",Other reason,0
2000 Jul,Riverland,Holiday,44.3643052
2000 Jul,Riverland,Visiting friends and relatives,32.8361313
2000 Jul,Riverland,Business,3.6106843
2000 Jul,Riverland,Other reason,0
2000 Jul,Yorke Peninsula,Holiday,54.1583
2000 Jul,Yorke Peninsula,Visiting friends and relatives,18.4638983
2000 Jul,Yorke Peninsula,Business,2.9854506
2000 Jul,Yorke Peninsula,Other reason,0
2000 Jul,Flinders Ranges and Outback,Holiday,203.0958968
2000 Jul,Flinders Ranges and Outback,Visiting friends and relatives,14.9138942
2000 Jul,Flinders Ranges and Outback,Business,112.1573764
2000 Jul,Flinders Ranges and Outback,Other reason,21.9748312
2000 Jul,Kangaroo Island,Holiday,42.6690829
2000 Jul,Kangaroo Island,Visiting friends and relatives,1.7857928
2000 Jul,Kangaroo Island,Business,0
2000 Jul,Kangaroo Island,Other reason,0
2000 Jul,Destination Perth,Holiday,245.0639043
2000 Jul,Destination Perth,Visiting friends and relatives,268.6089877
2000 Jul,Destination Perth,Business,225.3394692
2000 Jul,Destination Perth,Other reason,69.9834682
2000 Jul,Australia's Golden Outback,Holiday,69.4065819
2000 Jul,Australia's Golden Outback,Visiting friends and relatives,95.9983234
2000 Jul,Australia's Golden Outback,Business,38.249398
2000 Jul,Australia's Golden Outback,Other reason,3.7065552
2000 Jul,Australia's North West,Holiday,499.3062274
2000 Jul,Australia's North West,Visiting friends and relatives,46.2171588
2000 Jul,Australia's North West,Business,158.9705611
2000 Jul,Australia's North West,Other reason,0
2000 Jul,Australia's South West,Holiday,266.8432337
2000 Jul,Australia's South West,Visiting friends and relatives,131.0142853
2000 Jul,Australia's South West,Business,12.9528705
2000 Jul,Australia's South West,Other reason,0
2000 Jul,Australia's Coral Coast,Holiday,208.0886416
2000 Jul,Australia's Coral Coast,Visiting friends and relatives,115.0198236
2000 Jul,Australia's Coral Coast,Business,43.9022538
2000 Jul,Australia's Coral Coast,Other reason,0
2000 Jul,Hobart and the South,Holiday,80.6656697
2000 Jul,Hobart and the South,Visiting friends and relatives,37.9383434
2000 Jul,Hobart and the South,Business,42.3967634
2000 Jul,Hobart and the South,Other reason,4.3743136
2000 Jul,East Coast,Holiday,21.139148
2000 Jul,East Coast,Visiting friends and relatives,2.8618825
2000 Jul,East Coast,Business,2.2708941
2000 Jul,East Coast,Other reason,0
2000 Jul,Launceston and the North,Holiday,86.2619225
2000 Jul,Launceston and the North,Visiting friends and relatives,74.0963489
2000 Jul,Launceston and the North,Business,26.9218633
2000 Jul,Launceston and the North,Other reason,2.5127354
2000 Jul,North West,Holiday,90.7274617
2000 Jul,North West,Visiting friends and relatives,30.184271
2000 Jul,North West,Business,19.3399463
2000 Jul,North West,Other reason,0
2000 Jul,West Coast,Holiday,3.9905144
2000 Jul,West Coast,Visiting friends and relatives,1.2079442
2000 Jul,West Coast,Business,15.4029364
2000 Jul,West Coast,Other reason,0
2000 Jul,Darwin,Holiday,147.182207
2000 Jul,Darwin,Visiting friends and relatives,102.2963473
2000 Jul,Darwin,Business,39.1290625
2000 Jul,Darwin,Other reason,204.4689279
2000 Jul,Barkly,Holiday,3.0627582
2000 Jul,Barkly,Visiting friends and relatives,8.0172354
2000 Jul,Barkly,Business,0
2000 Jul,Barkly,Other reason,0
2000 Jul,Alice Springs,Holiday,101.4117131
2000 Jul,Alice Springs,Visiting friends and relatives,45.2560514
2000 Jul,Alice Springs,Business,0.445402
2000 Jul,Alice Springs,Other reason,11.0229635
2000 Jul,Litchfield Kakadu Arnhem,Holiday,126.3140868
2000 Jul,Litchfield Kakadu Arnhem,Visiting friends and relatives,10.8894415
2000 Jul,Litchfield Kakadu Arnhem,Business,9.8848551
2000 Jul,Litchfield Kakadu Arnhem,Other reason,0
2000 Jul,Katherine Daly,Holiday,48.416499
2000 Jul,Katherine Daly,Visiting friends and relatives,30.2401617
2000 Jul,Katherine Daly,Business,9.406682
2000 Jul,Katherine Daly,Other reason,0
2000 Jul,Lasseter,Holiday,72.0090276
2000 Jul,Lasseter,Visiting friends and relatives,2.6168378
2000 Jul,Lasseter,Business,0
2000 Jul,Lasseter,Other reason,0
2000 Jul,MacDonnell,Holiday,33.8342644
2000 Jul,MacDonnell,Visiting friends and relatives,0
2000 Jul,MacDonnell,Business,0
2000 Jul,MacDonnell,Other reason,0
2000 Jul,Canberra,Holiday,126.3740809
2000 Jul,Canberra,Visiting friends and relatives,112.6456483
2000 Jul,Canberra,Business,91.7181808
2000 Jul,Canberra,Other reason,2.1118424
2000 Aug,Sydney,Holiday,512.3971207
2000 Aug,Sydney,Visiting friends and relatives,551.080834
2000 Aug,Sydney,Business,579.3574491
2000 Aug,Sydney,Other reason,47.9718025
2000 Aug,Blue Mountains,Holiday,143.6086297
2000 Aug,Blue Mountains,Visiting friends and relatives,46.1506819
2000 Aug,Blue Mountains,Business,1.3612601
2000 Aug,Blue Mountains,Other reason,0
2000 Aug,Capital Country,Holiday,48.1799908
2000 Aug,Capital Country,Visiting friends and relatives,44.7586307
2000 Aug,Capital Country,Business,37.0791679
2000 Aug,Capital Country,Other reason,0
2000 Aug,Central Coast,Holiday,87.5432849
2000 Aug,Central Coast,Visiting friends and relatives,102.903469
2000 Aug,Central Coast,Business,10.651754
2000 Aug,Central Coast,Other reason,7.4776546
2000 Aug,Central NSW,Holiday,131.6258749
2000 Aug,Central NSW,Visiting friends and relatives,133.7451593
2000 Aug,Central NSW,Business,84.2346376
2000 Aug,Central NSW,Other reason,16.4290833
2000 Aug,Hunter,Holiday,310.8133657
2000 Aug,Hunter,Visiting friends and relatives,233.1443412
2000 Aug,Hunter,Business,62.1714669
2000 Aug,Hunter,Other reason,2.8021166
2000 Aug,New England North West,Holiday,102.1039201
2000 Aug,New England North West,Visiting friends and relatives,74.0690291
2000 Aug,New England North West,Business,79.1339171
2000 Aug,New England North West,Other reason,186.697304
2000 Aug,North Coast NSW,Holiday,619.1547725
2000 Aug,North Coast NSW,Visiting friends and relatives,275.0046419
2000 Aug,North Coast NSW,Business,93.4494686
2000 Aug,North Coast NSW,Other reason,12.6622054
2000 Aug,Outback NSW,Holiday,38.2754981
2000 Aug,Outback NSW,Visiting friends and relatives,19.6372064
2000 Aug,Outback NSW,Business,17.264062
2000 Aug,Outback NSW,Other reason,14.6196882
2000 Aug,Riverina,Holiday,25.4037431
2000 Aug,Riverina,Visiting friends and relatives,17.0135448
2000 Aug,Riverina,Business,79.9991704
2000 Aug,Riverina,Other reason,0
2000 Aug,Snowy Mountains,Holiday,463.5649227
2000 Aug,Snowy Mountains,Visiting friends and relatives,8.5357122
2000 Aug,Snowy Mountains,Business,22.1977397
2000 Aug,Snowy Mountains,Other reason,10.2074337
2000 Aug,South Coast,Holiday,242.9535973
2000 Aug,South Coast,Visiting friends and relatives,54.3549598
2000 Aug,South Coast,Business,19.2554068
2000 Aug,South Coast,Other reason,5.6617599
2000 Aug,The Murray,Holiday,84.6996224
2000 Aug,The Murray,Visiting friends and relatives,48.481768
2000 Aug,The Murray,Business,4.5556804
2000 Aug,The Murray,Other reason,0
2000 Aug,Melbourne,Holiday,410.7224045
2000 Aug,Melbourne,Visiting friends and relatives,485.7833951
2000 Aug,Melbourne,Business,480.5321926
2000 Aug,Melbourne,Other reason,82.8097918
2000 Aug,Ballarat,Holiday,29.0674564
2000 Aug,Ballarat,Visiting friends and relatives,19.0361806
2000 Aug,Ballarat,Business,8.82941
2000 Aug,Ballarat,Other reason,0.8122049
2000 Aug,Bendigo Loddon,Holiday,39.0031027
2000 Aug,Bendigo Loddon,Visiting friends and relatives,37.129758
2000 Aug,Bendigo Loddon,Business,10.1216495
2000 Aug,Bendigo Loddon,Other reason,10.3300364
2000 Aug,Central Highlands,Holiday,109.8228221
2000 Aug,Central Highlands,Visiting friends and relatives,18.326704
2000 Aug,Central Highlands,Business,9.0292732
2000 Aug,Central Highlands,Other reason,0
2000 Aug,Central Murray,Holiday,34.1288663
2000 Aug,Central Murray,Visiting friends and relatives,20.2358338
2000 Aug,Central Murray,Business,0
2000 Aug,Central Murray,Other reason,0
2000 Aug,Geelong and the Bellarine,Holiday,43.1498098
2000 Aug,Geelong and the Bellarine,Visiting friends and relatives,32.8480554
2000 Aug,Geelong and the Bellarine,Business,4.8372422
2000 Aug,Geelong and the Bellarine,Other reason,0
2000 Aug,Gippsland,Holiday,103.3488311
2000 Aug,Gippsland,Visiting friends and relatives,46.1855233
2000 Aug,Gippsland,Business,30.4237651
2000 Aug,Gippsland,Other reason,0
2000 Aug,Goulburn,Holiday,2.9169122
2000 Aug,Goulburn,Visiting friends and relatives,9.4135141
2000 Aug,Goulburn,Business,0
2000 Aug,Goulburn,Other reason,0
2000 Aug,Great Ocean Road,Holiday,129.5074269
2000 Aug,Great Ocean Road,Visiting friends and relatives,81.8419836
2000 Aug,Great Ocean Road,Business,34.9348031
2000 Aug,Great Ocean Road,Other reason,10.8163021
2000 Aug,High Country,Holiday,266.8540975
2000 Aug,High Country,Visiting friends and relatives,7.6291898
2000 Aug,High Country,Business,3.831123
2000 Aug,High Country,Other reason,0
2000 Aug,Lakes,Holiday,33.4845727
2000 Aug,Lakes,Visiting friends and relatives,142.6371031
2000 Aug,Lakes,Business,5.7466846
2000 Aug,Lakes,Other reason,3.70729
2000 Aug,Macedon,Holiday,0
2000 Aug,Macedon,Visiting friends and relatives,36.2336233
2000 Aug,Macedon,Business,0.8687423
2000 Aug,Macedon,Other reason,0.8122049
2000 Aug,Mallee,Holiday,193.8023479
2000 Aug,Mallee,Visiting friends and relatives,29.9464412
2000 Aug,Mallee,Business,54.4160624
2000 Aug,Mallee,Other reason,8.0305246
2000 Aug,Melbourne East,Holiday,5.7747572
2000 Aug,Melbourne East,Visiting friends and relatives,20.3310703
2000 Aug,Melbourne East,Business,0
2000 Aug,Melbourne East,Other reason,0
2000 Aug,Murray East,Holiday,0
2000 Aug,Murray East,Visiting friends and relatives,1.4701456
2000 Aug,Murray East,Business,0
2000 Aug,Murray East,Other reason,0
2000 Aug,Peninsula,Holiday,41.7758306
2000 Aug,Peninsula,Visiting friends and relatives,12.6537761
2000 Aug,Peninsula,Business,0
2000 Aug,Peninsula,Other reason,13.1261052
2000 Aug,Phillip Island,Holiday,84.5360311
2000 Aug,Phillip Island,Visiting friends and relatives,2.4715266
2000 Aug,Phillip Island,Business,14.5845612
2000 Aug,Phillip Island,Other reason,0
2000 Aug,Spa Country,Holiday,24.0964029
2000 Aug,Spa Country,Visiting friends and relatives,13.6937902
2000 Aug,Spa Country,Business,0
2000 Aug,Spa Country,Other reason,0
2000 Aug,Upper Yarra,Holiday,36.5288645
2000 Aug,Upper Yarra,Visiting friends and relatives,2.8508511
2000 Aug,Upper Yarra,Business,26.5020815
2000 Aug,Upper Yarra,Other reason,0
2000 Aug,Western Grampians,Holiday,11.1273788
2000 Aug,Western Grampians,Visiting friends and relatives,32.3932643
2000 Aug,Western Grampians,Business,8.1944676
2000 Aug,Western Grampians,Other reason,0
2000 Aug,Wimmera,Holiday,4.9430534
2000 Aug,Wimmera,Visiting friends and relatives,30.9995477
2000 Aug,Wimmera,Business,8.6621358
2000 Aug,Wimmera,Other reason,0
2000 Aug,Brisbane,Holiday,250.0392751
2000 Aug,Brisbane,Visiting friends and relatives,665.6161587
2000 Aug,Brisbane,Business,206.6996251
2000 Aug,Brisbane,Other reason,102.3382124
2000 Aug,Bundaberg,Holiday,32.0976655
2000 Aug,Bundaberg,Visiting friends and relatives,52.3285471
2000 Aug,Bundaberg,Business,30.4333459
2000 Aug,Bundaberg,Other reason,9.3229623
2000 Aug,Southern Queensland Country,Holiday,55.4604474
